,position,avg_consult_mins,doctor_speed,time_of_day,day_of_week,actual_wait_time
80,8,15,0.8561879216747462,18,0,107.02349020934328
81,14,20,0.5608631317672694,9,3,196.3020961185443
82,10,8,0.5724128321536028,14,1,56.09645755105308
83,5,15,1.1529860776247354,15,5,105.49822610266328
84,8,15,1.1115215418584652,12,6,164.50518819505285
85,5,8,1.0732851960503038,16,2,56.8841153906661
86,14,15,0.736279448069355,20,2,189.22381815382423
87,1,10,1.2987212720237171,9,3,23.37698289642691
88,11,20,1.112885191318842,11,4,311.6078535692758
89,9,20,1.312258832012927,10,3,296.57049603492146
90,8,8,1.4923067167751256,10,1,119.08607599865502
91,7,30,0.7283768554962936,11,4,186.46447500705116
92,4,30,0.9448004870947941,10,0,141.72007306421912
93,13,15,1.1133888633601228,15,5,255.52274414114817
94,7,8,1.1068938538080473,21,2,89.87978092921344
95,13,10,0.7658692491693349,20,3,132.49538010629493
96,1,15,1.1297039587070432,13,0,28.24259896767608
97,13,15,0.8526117491743622,19,1,210.59510204606747
98,14,10,1.3653168739869739,10,2,243.02640356968135
99,6,20,0.6832312276427285,15,5,90.18652204884016
100,13,8,1.478033104523198,9,1,197.76082938520392
101,6,20,1.2520435382873936,11,6,212.09617538588446
102,13,30,1.2186185408999743,12,0,498.4149832280895
103,5,15,1.408649195026479,9,5,157.76870984296565
104,3,30,1.4546382745838962,19,5,193.17596286474142
105,1,8,1.0966550252809213,11,1,28.074368647191587
106,12,20,1.2689339752722464,15,4,326.11603164496734
107,5,8,0.8830946395632173,13,6,43.27163733859765
108,14,30,1.4558136283734084,11,1,757.0230867541724
109,10,15,0.9442095987855887,15,1,150.12932620690862
110,6,15,1.4340180002592247,19,3,170.64814203084774
111,5,20,1.0827061801598747,10,0,143.99992196126334
112,3,8,1.3373757859408693,10,1,55.902307852328335
113,3,8,1.0169477114752072,17,1,34.57622219015705
114,12,30,1.210750893551425,19,1,523.0443860142157
115,5,10,1.4888904190011334,13,1,90.82231555906914
116,4,30,0.6228686845962723,16,4,75.98997952074522
117,6,20,0.6352837994627291,15,4,80.6810425317666
118,2,10,1.2608829072943117,16,3,40.348253033417976
119,8,10,0.6536075129494501,20,6,72.94259844515862
120,5,20,0.867542882482018,17,0,87.62183113068383
121,4,15,1.3034289408030324,15,6,92.5434547970153
122,9,10,1.1236860343352197,15,4,122.48177774253895
123,1,10,0.502276816496042,13,6,13.561474045393133
124,12,30,0.9162437498043072,9,3,410.47719991232964
125,14,30,0.9592462721472644,18,1,408.63891193473467
126,7,10,1.158051567694379,21,1,100.75048638941098
127,3,20,0.9236540559994669,13,0,58.19020552796642
128,4,15,0.631908108595363,19,2,48.025016253247585
129,12,10,1.466954615525247,14,3,178.96846309408014
130,10,15,1.2568667328849343,17,2,192.30061013139496
131,11,20,1.2381076276341534,17,5,300.8601535150993
132,9,8,1.3879800518546155,21,3,139.3531972062034
133,6,15,1.2060603326293229,10,4,130.25451592396686
134,10,20,1.2989439571473047,20,1,328.6328211582681
135,4,8,0.6982613823540625,9,5,42.76152705536279
136,10,15,1.0351726633967062,11,2,192.54211539178735
137,8,10,0.6043239399190624,12,0,51.36753489312031
138,12,30,0.9570548979148114,12,3,352.1962024326506
139,11,30,1.0927809735958656,21,2,434.9268274911545
140,11,15,1.0477159957068571,10,6,236.57427183060835
141,11,30,1.2258179651709993,13,6,449.87519321775676
142,11,8,0.6350679470842946,11,0,75.95412647128163
143,12,10,0.6365379744409755,14,4,77.657632881799
144,1,10,0.9580301530048086,12,0,16.286512601081746
145,14,20,0.8620683787552185,14,3,245.68948794523726
146,5,8,0.9664546985064548,12,0,41.557552035777555
147,12,30,1.1243631271288477,14,4,405.895088893514
148,3,30,1.4595314618797934,18,5,169.30564957805603
149,6,8,1.062724727221378,9,2,63.33839374239413
150,1,30,1.2946872352842262,14,5,51.78748941136905
151,8,30,0.8072128625409376,20,4,235.7061558619538
152,6,8,0.8818600909008225,15,1,42.32928436323948
153,9,20,0.6237821183366862,15,3,114.77590977395026
154,3,20,1.429579595697743,12,3,107.21846967733073
155,1,30,1.3084963451131801,10,1,69.35030629099855
156,7,8,0.7323581829460087,11,0,61.664559004053935
157,1,30,0.8253489550146659,15,0,24.760468650439975
158,13,8,1.2811086242918104,16,4,151.17081766643363
159,9,20,1.2683665003764935,18,4,243.52636807228674
160,1,10,1.0444808794789409,15,4,18.800655830620936
161,7,30,0.5113362936749054,16,5,120.67536530727767
162,5,30,0.7808795260776363,20,6,159.2994233198378
163,1,20,0.7641250050317603,13,2,16.046625105666966
164,8,30,0.7739947157692889,21,4,230.6504252992481
165,14,8,0.501045680662465,19,0,76.86040741362214
166,8,30,0.8760493135530055,16,5,241.78961054062952
167,4,15,1.1562207571904586,21,5,112.38465759891258
168,11,15,0.5870700471960798,13,1,102.73725825931396
169,1,10,0.9258780988923341,10,2,23.146952472308353
170,4,10,1.3899162665453129,11,1,68.10589706072032
171,8,20,0.5593061141096185,10,0,114.65775339247179
172,9,30,0.6266920884292371,20,1,204.3016208279313
173,9,8,0.6870249920570725,15,5,57.847504331205506
174,7,20,1.4778177454319508,21,1,273.3962829049109
175,12,15,1.1766126753706807,12,4,221.203182969688
176,11,8,0.6490849271713065,9,2,73.08696279948911
177,12,10,1.0098659937740992,15,3,139.3615071408257
178,14,30,1.1394088772425235,17,3,487.6669994598001
179,6,8,1.0393706625735524,12,6,61.114994959324875
180,13,20,1.0390788917179146,21,4,325.23169310770726
181,14,30,0.8325999018551083,17,1,349.6919587791455
182,13,10,1.2179707095334136,14,6,185.13154784907886
183,14,15,1.3461054174986704,10,3,341.91077604466227
184,6,30,0.5013139156149912,19,0,108.2838057728381
185,4,30,0.9036093860419094,12,4,117.46922018544822
186,6,10,0.9366259426811182,13,6,76.80332729985169
187,4,10,0.7362283689671117,18,2,35.338961710421366
188,1,20,1.0450980368331,15,2,33.4431371786592
189,14,30,1.388589401454861,19,2,701.2376477347048
190,10,20,1.3647736771916108,21,2,335.73432458913624
191,3,8,0.8871008220668067,12,5,27.85496581289773
192,11,10,1.0480065705405939,10,2,153.0089592989267
193,14,8,1.13038674130914,18,2,134.51602221578764
194,7,20,0.7050152442881984,19,4,131.8378506818931
195,14,30,1.4703453115356817,17,5,702.8250589140558
196,13,10,1.0012982168613818,20,6,189.846141916918
197,7,8,0.5785364496816147,17,3,34.71218698089688
198,13,8,1.1027810409642163,14,0,130.1281628337775
199,5,15,0.581605208382153,10,0,61.068546880126064
200,5,8,1.4671487899333753,20,0,90.96322497586927
201,4,10,1.4048496812943703,17,3,63.21823565824666
202,5,15,0.5646186689161442,19,1,53.6387735470337
203,12,30,1.238580984608138,13,3,454.55922135118664
204,14,15,1.2223390530019507,19,5,349.83343696915824
205,7,10,1.3730309880830474,19,4,133.1840058440556
206,5,20,1.4630407873453906,13,4,152.15624188392061
207,6,10,1.2314389249315778,19,1,94.82079721973149
208,3,20,1.1217887604973256,15,5,87.49952331879139
209,6,30,1.3021574456706562,20,1,292.9854252758976
210,8,30,1.4196365752544766,16,0,346.3913243620923
211,10,20,1.1494259387731143,14,3,249.4254287137658
212,4,10,1.4968184776155107,15,2,59.87273910462043
213,9,10,1.0124275239883627,10,6,138.50008528160802
214,12,10,1.2691144961978553,12,4,154.83196853613836
215,7,15,1.1009284604653597,17,0,122.20305911165494
216,2,20,0.6707547771494503,15,4,28.842455417426365
217,14,15,0.5909909118121743,11,3,151.29367342391663
218,7,30,1.161302834628564,19,1,307.74525117656947
219,7,30,1.1561810695546229,16,2,242.7980246064708
220,2,30,0.8969884225443019,13,3,58.304247465379625
221,2,15,1.1219515432708225,15,5,53.85367407699948
222,8,8,1.1740738638216164,14,6,103.7881295618309
223,13,20,1.1672600996715903,18,3,322.16378750935894
224,9,15,0.6343007504891142,21,5,116.20389748960571
225,6,8,1.4068050550053672,14,0,90.0355235203435
226,3,20,1.369035827867275,11,5,134.4393182965664
227,9,30,1.3610028049083416,15,3,383.80279098415235
228,13,8,1.2727050278967815,13,2,145.0883731802331
229,10,30,1.2183719348514743,15,4,385.0055314130659
230,13,20,1.018818846062329,21,2,328.05966843206994
231,11,10,1.1452445702931846,11,1,167.20570726280496
232,7,8,1.46554585275973,14,1,109.91593895697976
233,2,10,1.4129461616840202,18,3,40.97543868883658
234,12,15,1.1068676521585097,13,6,234.65594225760407
235,11,30,0.9185110972802591,11,2,371.0784833012247
236,1,10,0.9051231242477269,9,1,18.102462484954536
237,12,15,1.4831925743349634,18,5,315.92001833334723
238,11,15,1.3489453864324326,20,1,292.72114885583784
239,9,8,0.8073659636675631,20,0,81.8669087158909
240,13,15,0.7700715390609184,19,1,188.667527069925
241,9,8,0.6063567051739339,16,4,49.72124982426258
242,3,10,0.9686845512464023,17,2,38.74738204985609
243,14,30,0.5499766150907965,19,6,307.10694186670077
244,12,20,1.244221125642818,15,0,302.34573353120476
245,4,10,0.8063525234760678,17,2,42.73668374423159
246,11,30,1.4437433752079094,18,3,495.2039776963129
247,2,20,0.6348903160323439,12,6,33.649186749714225
248,5,15,1.3301098591105427,10,1,140.99164506571753
249,11,15,0.9115306679392321,14,1,165.89858156494023
250,13,20,0.5688126905515436,17,3,156.99230259222603
251,11,10,1.49115792672908,9,2,207.27095181534213
252,9,15,1.256510291544803,10,3,218.63279072879573
253,6,30,1.4794469895649067,17,5,309.2044208190655
254,11,30,0.7485355740639652,15,6,285.9405892924347
255,2,15,1.0569701144091885,16,0,36.9939540043216
256,12,10,0.9864123277692767,19,6,170.0574853074233
257,9,10,1.1985085213050177,12,2,128.2404117796369
258,7,30,1.2981708363735882,17,4,279.10672982032145
259,5,30,1.387560965789043,13,6,231.72268128677018
260,12,20,1.0611786354930777,15,0,261.0499443312971
261,3,8,1.2924400271178542,11,6,49.9915802489186
262,13,10,0.630260658366426,15,2,88.23649217129963
263,3,20,0.8835811721180952,12,4,60.967100876148564
264,13,20,1.3339963330168274,19,1,420.2088449003006
265,9,30,0.8699171256070573,11,1,281.85314869668656
266,4,15,0.5305779099578314,11,4,41.38507697671085
267,6,30,0.5933974041612888,17,4,115.71249381145132
268,4,30,0.7894513381228206,13,0,99.4708686034754
269,7,10,1.340061141420931,10,1,116.58531930362099
270,2,15,1.3745605437731094,14,6,53.60786120715127
271,4,15,1.1669322968424374,12,4,84.0191253726555
272,7,10,0.845385870816483,12,6,74.3939566318505
273,4,20,0.7729393956919036,20,3,85.7962729218013
274,3,8,0.8881956605746851,20,1,39.791165593745895
275,2,10,1.1589832185009894,11,2,38.24644621053265
276,14,8,1.40935978157134,14,4,181.80741182270285
277,7,20,0.8468047541361451,14,6,132.94834639937477
278,11,15,1.1072319231787175,10,4,219.23192078938607
279,4,15,0.9548865751109912,16,5,76.39092600887929
280,11,8,0.9641539603580095,14,2,91.5946262340109
281,5,8,1.4274252956774913,15,6,72.79869007955206
282,14,15,1.380125114674993,10,4,372.6337809622481
283,8,10,1.0711650696409267,13,0,104.97417682481083
284,11,10,0.844948883713574,14,2,96.32417274334743
285,14,15,1.1816026859024125,13,4,265.8606043280428
286,2,10,1.11052881272189,15,3,42.20009488343182
287,7,15,0.5985663134799567,20,5,83.55985736180195
288,3,10,1.1471818118082835,9,4,58.50627240222246
289,11,15,0.5077279647391392,10,1,105.09968870100181
290,7,8,0.8869216765328823,16,1,58.536830651170234
291,10,30,0.6263254731643574,14,5,214.20331182221022
292,4,15,0.6587594866153366,18,0,50.065720982765576
293,9,8,0.5834230449385385,15,3,53.091497089407
294,12,20,0.9868840891516031,11,2,290.1439222105713
295,5,30,0.5953978228210098,19,3,107.76700593060278
296,14,30,0.5087496038935148,12,1,221.30607769367893
297,1,10,0.5486394156185425,15,3,7.132312403041052
298,14,10,0.8441186019874954,10,3,148.5648739497992
299,6,20,1.247978569861743,17,2,159.7412569423031
300,10,20,1.472787624577597,20,2,356.4146051477785
301,13,15,1.2603895906492752,20,0,315.0973976623188
302,4,15,0.9975969182424865,16,3,69.83178427697406
303,3,8,0.9588366330235415,14,4,27.806262357682705
304,12,20,0.7785143513418691,15,0,188.40047302473232
305,1,20,1.038148374732487,15,2,23.8774126188472
306,2,8,0.8452312263018298,13,3,24.511705562753065
307,10,20,1.0149726169223947,12,2,217.20414002139248
308,12,8,0.9932805012009456,9,2,119.39231624435367
309,2,20,1.0615190056202568,10,2,60.506583320354636
310,14,20,1.2606091395163315,16,1,363.05543218070346
311,2,8,0.538619359673624,14,6,9.479700730255782
312,4,30,1.0500353155924405,14,0,138.60466165820213
313,2,10,0.725930310684083,14,4,28.311282116679237
314,14,8,0.6127366434318304,15,0,75.97934378554697
315,10,20,0.5264107113740224,15,4,108.44060654304862
316,13,30,0.9989612942546928,21,5,522.2569646363534
317,3,30,1.0592045863150663,20,0,132.4005732893833
318,7,8,1.4589682422631882,18,2,96.29190398937043
319,1,30,1.269345201249799,21,0,64.73660526373975
320,5,10,0.5577236103314498,19,1,38.48292911287004
321,7,10,1.267890095719519,14,4,96.35964727468344
322,4,8,0.9193758536939082,15,0,35.855658294062415
323,6,8,1.347391929237392,10,5,92.10771228266812
324,11,10,0.9126197355889346,19,1,126.85414324686191
325,14,30,0.8259463975935125,10,6,463.68630760899794
326,5,10,0.9881242282764214,19,3,75.09744134900802
327,5,10,0.7468186106289617,9,4,47.049572469624586
328,13,15,1.3501660277353698,14,1,280.83453376895693
329,10,15,1.4612391420072173,16,5,257.17808899327025
330,1,20,0.6866338571509105,9,5,19.500401543085857
331,9,30,1.0593329558902016,17,0,286.01989809035445
332,12,15,0.7383292898662874,18,5,157.26413874151922
333,8,30,1.0741602307203473,20,2,317.9514282932228
334,5,20,0.67766019160919,16,5,74.5426210770109
335,10,30,1.1894966704723666,17,0,367.5544711759613
336,6,8,0.5031337034166744,13,3,25.659818874250394
337,8,20,1.3241167885663758,17,3,215.83103653631926
338,12,10,1.2508088938340354,11,4,191.37376075660742
339,14,8,1.3638981377604629,14,0,178.67065604662065
340,4,15,1.0250611520743451,15,6,86.10513677424498
341,9,15,0.9897119334984483,11,6,189.23292168490332
342,7,10,1.058515084823484,18,4,84.68120678587873
343,14,15,0.5613334049064841,15,6,134.72001717755617
344,3,30,1.240790877061868,11,3,140.20936910799108
345,10,8,0.9002667630667833,16,1,88.22614278054476
346,14,10,1.4230519112419788,18,0,213.45778668629683
347,7,30,0.7910942695459302,12,2,171.66745649146685
348,1,10,0.6053822583214918,12,2,10.896880649786853
349,4,30,1.1070060881941424,17,6,158.30187061176235
350,7,20,0.6149184196771077,19,1,109.45547870252517
351,3,8,1.1168426940235867,13,3,31.271595432660426
352,4,20,0.8260570686534002,16,6,78.47542152207302
353,4,20,0.6311803867165594,19,4,72.58574447240433
354,2,10,0.5064742184215468,12,4,18.739546081597233
355,7,15,0.9208168453226412,11,3,132.59762572646034
356,8,20,0.7276337138454843,19,4,148.43727762447878
357,11,20,1.1492616504955924,19,5,340.64115320689353
358,11,15,1.2836071168524146,21,2,266.99028030530224
359,13,8,0.7492692804469464,12,2,91.41085221452747
360,13,15,0.6330286416887343,12,1,129.1378429045018
361,5,30,1.0775838414577614,16,2,182.11166920636168
362,1,20,1.3103332608204956,12,6,47.17199738953784
363,13,8,1.4600746326936385,19,1,207.03858291595796
364,9,30,1.034038126618599,13,0,291.5987517064449
365,9,15,0.9889197945708756,20,6,177.2144271871009
366,10,10,1.3553088911661315,21,6,192.45386254559068
367,13,10,0.9403103762144709,13,4,126.94190078895357
368,11,30,1.1277832513814525,14,4,373.2962562072608
369,2,8,1.3725791180020015,11,3,29.098677301642432
370,9,15,1.2189504769416277,16,0,171.8720172487695
371,11,8,1.1662281206309035,16,1,114.29035582182854
372,13,8,1.0841126029378532,10,1,146.1383788760226
373,5,20,0.5916336812601529,21,6,79.2789132888605
374,8,15,1.3565156366222306,12,6,203.47734549333458
375,7,8,0.703448672589541,13,3,42.20692035537246
376,2,8,0.7610095269327665,19,1,16.894411497907416
377,1,20,1.1163667523513874,9,5,38.40301628088773
378,6,20,0.9584256298557726,19,0,141.84699321865435
379,14,20,1.3335779259965066,9,5,503.5590248562809
380,8,15,0.554866811165268,17,6,82.67515486362494
381,8,8,1.385924063887853,21,1,106.4389681065871
382,5,8,1.225770128006122,16,6,53.933885632269366
383,2,15,1.1550384519665036,20,1,42.73642272276063
384,7,15,1.3826246627054792,21,6,206.8406495407397
385,6,15,0.8410296385172311,15,2,83.26193421320588
386,1,15,0.7428809357653453,14,1,20.05778526566432
387,14,15,1.2085974567247864,18,3,262.26564810927863
388,8,20,0.7745889791341831,12,0,130.13094849454276
389,1,15,0.9155896117066891,14,2,19.22738184584047
390,14,8,0.7942347307365033,16,2,104.04474972648194
391,13,30,1.2405270082287305,20,1,595.4529639497906
392,12,15,0.7195242194728915,11,6,178.8737209609608
393,4,15,1.3772133750382778,13,3,99.159363002756
394,12,30,0.8032594231802791,21,5,384.11865616480947
395,3,8,0.6587702638679415,19,5,29.433855389619623
396,5,15,0.7251644633347214,13,1,54.3873347501041
397,3,10,0.7537118024650954,19,2,34.670742913394385
398,11,30,0.8940803108485037,13,3,296.8346632017032
399,10,20,0.8667382706827597,13,1,182.01503684337953
400,7,8,1.1252276462276427,15,1,63.01274818874799
401,13,20,1.0194343640810146,16,5,294.6165312194132
402,14,20,0.6891207862856498,16,4,201.22326959540973
403,3,15,1.0716730142398945,13,1,57.8703427689543
404,6,8,0.9810788900883549,11,0,70.24524853032621
405,3,30,1.3027698429906813,15,4,123.76313508411472
406,2,20,0.568543082596185,17,5,35.24967112096347
407,9,10,1.3486112667523984,20,6,162.91224102368972
408,11,10,1.295619810415473,16,3,146.40503857694844
409,4,30,0.6776069507603022,21,2,102.31864956480563
410,14,20,0.673908956736745,19,2,232.49859007417703
411,8,15,1.2455981849191184,15,5,165.66455859424275
412,12,10,0.5002532924844901,9,4,75.53824716515801
413,13,10,0.9935674977186558,20,3,167.91290711445282
414,5,30,0.9242437709707539,13,0,145.10627204240836
415,9,10,1.2364194925729037,11,6,146.88663571766097
416,8,8,1.1261788313631333,17,4,79.95869702678247
417,3,10,0.5693916390613133,18,5,29.03897359212698
418,8,15,1.3761186452494778,9,0,220.17898323991645
419,5,8,0.8647817543393066,20,1,51.8869052603584
420,9,20,0.5063354748760104,17,4,92.6593919023099
421,10,15,0.9223947609340971,9,6,189.0909259914899
422,4,15,0.86643278977801,14,6,67.58175760268477
423,11,15,0.8376346558141962,15,6,155.38122865353338
424,1,30,1.459848829112579,9,5,75.32819958220908
425,7,30,0.5325742670544025,9,1,139.00188370119903
426,4,10,1.1908456218152343,21,2,61.92397233439219
427,2,20,0.7661242940386016,21,3,40.60458758404589
428,1,15,0.6418123566607706,9,2,17.328933629840808
429,8,20,0.8286133539751654,13,6,149.97901706950495
430,9,15,1.3583066469528808,11,2,229.55382333503687
431,1,15,0.9219162087995494,9,4,20.282156593590088
432,3,15,1.144420958296298,13,0,66.37641558118528
433,12,20,0.8184772768016964,20,3,247.1801375941123
434,12,10,0.6122740387645772,11,6,106.16831832177769
435,9,15,1.3804937658522813,19,4,227.78147136562643
436,11,15,0.7698422129691572,11,2,160.89702251055385
437,13,10,0.7070015963580458,12,0,94.0312123156201
438,3,30,1.4875516769755623,9,4,172.55599452916522
439,3,10,1.2830062276924412,21,3,64.15031138462206
440,10,15,1.106529398428747,10,5,219.0928208888919
441,4,30,0.612247390766203,11,6,105.55145016809341
442,4,8,1.3671201258871974,14,4,43.74784402839032
443,10,20,1.1061381532401526,17,6,262.1547423179162
444,14,10,0.8231574339077788,9,3,138.29044889650686
445,4,20,0.7723772124124665,20,4,78.01009845365911
446,11,10,1.1140641599310226,14,6,149.28459743075703
447,3,20,1.4920830762486186,15,6,98.47748303240883
448,2,30,0.8256216020339294,15,1,64.39848495864649
449,3,20,1.181354585825277,14,4,92.14565769437161
450,1,10,0.9339938468162898,19,5,17.932681858872765
451,11,8,1.3893337202268419,18,4,131.98670342154998
452,7,8,0.8101649674612353,10,3,69.83622019515849
453,13,15,0.5703510878418514,16,1,120.34407953463065
454,9,30,0.5162222012161558,21,5,191.72492553168024
455,5,30,1.1888604569507932,14,1,200.91741722468404
456,9,10,1.138962588702715,19,4,144.6482487652448
457,8,20,1.4177433098916765,13,5,252.35830916071842
458,1,20,0.9841931070096563,13,5,21.65224835421244
459,12,10,1.25376810534526,14,5,186.81144769644374
460,10,8,0.6774546973893336,18,1,61.64837746242936
461,4,8,0.544753010071912,9,4,22.008021606905245
462,13,8,1.1319395721169787,16,6,138.5494036271182
463,3,20,0.6194896953350266,18,6,51.41764471280721
464,4,20,0.5500773523105614,15,2,48.406807003329405
465,5,8,1.4434813539992453,15,2,85.16539988595547
466,13,30,1.2327399546629771,18,1,488.1650220465389
467,14,20,0.9238264219173926,21,1,327.03455335875697
468,6,8,0.723812522361048,9,4,47.48210146688474
469,6,15,1.354811353957971,9,6,165.01602291208084
470,10,15,0.8973042036666734,17,4,136.39023895733436
471,3,30,0.53414916515049,17,6,58.222259001403415
472,3,10,1.0789347249591248,20,6,52.436227633013466
473,12,8,1.2136980152196504,13,4,138.36157373504014
474,1,30,1.0925153655805933,9,4,39.33055316090136
475,12,20,0.7383726558847646,11,0,225.94203270073797
476,4,15,0.6187109747258405,13,1,47.02203407916387
477,3,15,0.8154708570159367,18,3,48.9282514209562
478,11,30,0.526890832181124,20,4,214.9714595298986
479,2,30,1.4322040070138873,21,2,107.41530052604155
480,1,8,1.392968219902682,14,2,20.894523298540232
481,3,15,0.6794726977026213,9,2,38.72994376904941
482,2,8,0.6813788321488964,15,4,14.99033430727572
483,13,20,0.5268569864834175,17,0,141.1976723775559
484,3,20,0.9784280458139599,20,2,89.03695216907035
485,9,30,1.4883404821302086,19,6,548.3046336167688
486,5,8,1.0988724111508184,9,1,71.4267067248032
487,11,8,1.2822402927966001,12,5,144.6367050274565
488,6,10,0.7644394518134555,18,5,64.21291395233027
489,1,15,1.3712603334524012,20,5,38.12103726997675
490,8,30,0.8249113853721416,14,6,232.62501067494392
491,11,8,0.8581560232548201,18,3,86.67375834873683
492,7,15,0.7445201690392974,11,1,98.27666231318726
493,4,10,1.1353435563814056,12,3,45.413742255256224
494,14,15,0.8984488414217344,12,5,220.11996614832492
495,11,8,1.1495615789983096,13,2,104.61010368884617
496,12,30,1.0293242849635404,15,3,382.90863400643707
497,14,30,0.6226095014568565,15,3,262.1186001133366
498,2,10,1.1705169672612143,13,2,36.286025985097645
499,4,30,0.8515759288148079,15,1,107.2985670306658
500,3,10,1.332307692320236,12,4,61.286153846730855
501,10,30,1.4996342721761877,14,1,452.8895501972087
502,12,30,0.9793152138384297,12,6,406.41581374294833
503,12,8,1.4281536458028603,14,5,155.09748593419062
504,7,20,0.5040127181569832,14,3,72.57783141460558
505,10,8,1.3898382695109055,19,5,164.83481876399338
506,7,30,1.0749959247536416,12,3,237.5740993705548
507,11,10,1.1593629837612958,15,3,136.8048320838329
508,8,20,0.8007589632382939,12,5,149.74192612556095
509,9,30,0.5963462248253341,15,6,186.06002214550423
510,11,15,0.5092641225734424,19,2,103.38061688240882
511,8,30,1.2983841684361448,16,3,319.40250543529163
512,9,8,0.8014145903635927,14,2,64.91458181945102
513,10,10,0.8487660331272718,9,1,103.54945604152716
514,10,30,0.7682325811817812,19,4,285.0142876184408
515,7,10,0.9781351552397467,20,6,93.31409380987184
516,10,30,1.4147879262652276,19,4,517.8123810130733
517,8,30,0.7978015355664378,16,5,221.78882688746972
